ltl,en
F ( landmark two & F ( second floor ) ),move to the second floor but go through landmark two first .
~   ( orange room ) U ( landmark three ),avoid the orange room until going to landmark three .
F ( first floor & ~  landmark one ),go to the first floor avoiding landmark one .
F ( orange room & ~  landmark one ),go to the orange room without touching landmark one .
F ( blue room & F ( third floor ) ),go through the blue room then to the third floor .
~   ( red room ) U ( landmark three ),"avoid the red room and go to landmark three. if you reached the green room , you can now go to the red room or stay on landmark three ."
F ( yellow room & F ( second floor ) ),navigate to the second floor via the yellow room .
F ( orange room ) & G ( third floor ),go to the orange room only through the onest floor
~   ( orange room ) U ( purple room ),go to or through the purple room always avoid going to the purple room through the orange room
F ( yellow room ) & G ( third floor ),do not navigate away from the third floor and go to the yellow room .
F ( first floor & F ( green room ) ),go to the second floor and then go to the green room .
F ( blue room ) & G ( third floor ),go directly to the blue room without going to third floor .
F ( orange room ) & G ( first floor ),without leaving the first floor go to the orange room .
F ( landmark three & F ( orange room ) ),always go through landmark three and then to the orange room .
F ( green room & ~  landmark three ),"go to a spot in the green room , but do n't touch landmark three ."
F ( yellow room & F ( third floor ) ),visit the yellow room and then move to the third floor .
~   ( yellow room ) U ( red room ),go to or through the red room always avoid going to the red room through the yellow room
F ( red room & ~  yellow room ),go to the red room and avoid the yellow room .
~   ( blue room ) U ( second floor ),avoid the blue room until after going to the second floor .
F ( second floor & ~  green room ),move to the second floor without entering the green room .
~   ( green room ) U ( orange room ),avoid the green room until you enter the orange room .
~   ( yellow room ) U ( red room ),avoid the yellow room until after navigating to the red room .
F ( orange room & ~  purple room ),go to the orange room without going to the purple room .
F ( second floor & F ( yellow room ) ),go to the yellow room through the second floor .
F ( third floor & F ( purple room ) ),go from second floor to purple room .
F ( purple room & F ( yellow room ) ),navigate to the yellow room through the purple room .
F ( landmark two ) & G ( second floor ),go to landmark two .
F ( landmark two ) & G ( red room ),"proceed to landmark two , but never move outside of the red room ."
F ( orange room ) & G ( second floor ),remain on the second floor and move to the orange room .
F ( landmark two & F ( third floor ) ),go to the third floor through landmark two .
F ( green room ),move to the green room .
F ( green room & F ( landmark one ) ),go through the green room to landmark one .
F ( landmark two & ~  yellow room ),go to landmark two while always avoiding the yellow room .
~   ( green room ) U ( second floor ),"go to the second floor without going through the green room . if you reached the second floor then you can go to the green room , or be done ."
F ( orange room & F ( landmark one ) ),go to landmark one through the orange room
F ( blue room & F ( second floor ) ),head to the blue room and then head to the second floor .
F ( third floor & F ( yellow room ) ),go from the third floor to the yellow room .
F ( first floor & F ( purple room ) ),navigate to the purple room by passing through the first floor .
F ( orange room & F ( second floor ) ),pass through the orange room on your way to the second floor .
~   ( green room ) U ( purple room ),avoid the green room until you go through the purple room .
~   ( yellow room ) U ( blue room ),"go to the blue room without going to the yellow room . if you reached the blue room , now you can go to the yellow room ."
F ( green room ) & G ( first floor ),move to the green room without going to first floor .
F ( landmark three & F ( third floor ) ),navigate through landmark three to the third floor .
F ( yellow room & F ( second floor ) ),go to the second floor through the yellow room .
~   ( purple room ) U ( landmark three ),avoid the purple room on your way to landmark three .
F ( orange room ) & G ( third floor ),go to the orange room without going to another floor .
F ( landmark two ) & G ( green room ),stay in the green room and go to landmark two and stop
F ( landmark two ) & G ( yellow room ),stay in the yellow room to get to landmark two .
F ( third floor & F ( second floor ) ),go to the third floor then the second floor .
F ( landmark two & F ( second floor ) ),"go to landmark two , then head to the second floor ."
~   ( orange room ) U ( green room ),avoid the orange room until after you 've gone to the green room .
~   ( landmark two ) U ( yellow room ),go to or through the yellow room . always avoid going to the yellow room through landmark two
F ( orange room & F ( landmark two ) ),"go to the orange room , then go to landmark two ."
F ( second floor & ~  landmark three ),"navigate to the second floor , avoiding landmark three ."
~   ( red room ) U ( second floor ),avoid the red room until after going to the second floor .
F ( second floor & F ( red room ) ),go from the second floor to the red room .
F ( green room & F ( red room ) ),proceed to the red room by going through the green room .
F ( landmark one ) & G ( orange room ),go to landmark one without leaving the orange room .
~   ( green room ) U ( first floor ),avoid the green room until you go to the first floor .
F ( red room & F ( landmark one ) ),move to the red room first then travel to landmark one .
~   ( red room ) U ( purple room ),go to the purple room and if you have reached the purple room you may proceed to the red room or stay in the purple room .
F ( blue room & F ( yellow room ) ),go from the blue room to the yellow room
F ( green room & F ( third floor ) ),navigate to the third floor through the green room .
~   ( orange room ) U ( landmark one ),"go to landmark one , avoid the orange room until you have been to the landmark ."
~   ( red room ) U ( second floor ),"avoid the red room and go to the second floor . if you reached the second floor then you may go to the red room , or just stay on the second floor ."
~   ( orange room ) U ( first floor ),avoid the orange room until going to the first floor .
F ( first floor & ~  landmark three ),go to the first floor and avoid landmark three .
F ( landmark one & F ( second floor ) ),go to the second floor through landmark one .
F ( landmark two & ~  landmark three ),avoid landmark three and proceed to landmark two
F ( green room ) & G ( first floor ),remain on the first floor while going to the green room .
F ( first floor & F ( landmark two ) ),move to the first floor and then head to landmark two .
F ( landmark one & F ( landmark two ) ),go to landmark two through landmark one
F ( second floor & ~  purple room ),navigate to the second floor always avoiding the purple room .
F ( first floor & F ( red room ) ),go through the first floor to the red room
~   ( orange room ) U ( first floor ),avoid the orange room until reaching the first floor .
F ( landmark three ) & G ( green room ),stay in the green room and go to landmark three and stop
~   ( landmark two ) U ( blue room ),avoid landmark two until after the blue room
F ( landmark one & F ( third floor ) ),"go to landmark one , then head to the third floor ."
~   ( red room ) U ( orange room ),avoid the red room until you go to the orange room .
~   ( landmark three ) U ( red room ),avoid landmark three until you pass through red room .
F ( landmark three & F ( blue room ) ),go to the blue room via landmark three .
F ( third floor & F ( red room ) ),go through the third floor to the red room .
F ( purple room & F ( yellow room ) ),go to the yellow room by touching the purple room .
~   ( orange room ) U ( blue room ),go to the blue room while avoiding the orange room and if you have reached the blue room then you can go to the orange room .
F ( purple room & ~  green room ),navigate to the purple room always avoiding the green room .
F ( first floor & ~  blue room ),navigate to the first floor always avoiding the blue room .
F ( orange room & F ( yellow room ) ),always go through the orange room to get to the yellow room .
~   ( landmark three ) U ( yellow room ),go to the yellow room by avoiding landmark three and then stay in the yellow room or continue to landmark three
F ( blue room & F ( second floor ) ),go to the second floor by first going through the blue room .
~   ( landmark three ) U ( landmark one ),"avoid landmark three while traveling to landmark one. once there , you may travel to landmark three ."
~   ( landmark two ) U ( orange room ),avoid landmark two until going to the orange room .
F ( yellow room & ~  red room ),"go to yellow room , but do not go to red room ."
F ( red room & ~  landmark three ),go to the red room and avoid landmark three .
F ( landmark one ) & G ( first floor ),go to landmark one while avoiding the first and third floor .
F ( first floor & ~  landmark three ),avoid landmark three and go to the first floor .
F ( red room & F ( orange room ) ),go to the orange room by first going through the red room .
~   ( yellow room ) U ( blue room ),avoid the yellow room until after navigating to the blue room .
F ( yellow room & F ( orange room ) ),go to the orange room by first going through the yellow room .
F ( red room & ~  yellow room ),go to the red room without going to the yellow room
F ( landmark three & F ( landmark one ) ),go to landmark one after going to landmark three .
F ( green room & F ( yellow room ) ),move to the green room and then the yellow room .
F ( landmark one & ~  green room ),always avoid the green room while navigating to landmark one .
F ( second floor & ~  orange room ),go to the second floor while always avoiding the orange room
F ( third floor & ~  landmark one ),"navigate to the third floor , avoiding landmark one ."
F ( first floor & F ( green room ) ),go from second floor to green room .
~   ( landmark one ) U ( orange room ),avoid landmark one until after the orange room
F ( blue room & ~  landmark one ),avoid landmark one and move into the blue room .
F ( purple room & ~  landmark two ),go to the purple room while always avoiding landmark two
F ( landmark three & F ( third floor ) ),go through landmark three to the third floor .
F ( third floor & ~  yellow room ),go to the third floor always avoiding the yellow room .
~   ( landmark three ) U ( orange room ),"go to the orange room by avoiding landmark three. if you reached the orange room , then you can proceed to landmark three ."
F ( landmark one & F ( second floor ) ),go to landmark one and then go to the onest floor .
F ( blue room ) & G ( first floor ),proceed to the blue room but do n't leave the first floor .
F ( yellow room & ~  blue room ),go to the yellow room while always avoiding the blue room
F ( landmark two & ~  red room ),always avoid the red room to navigate to landmark two .
F ( landmark one ),navigate directly to landmark one .
~   ( landmark three ) U ( landmark one ),avoid landmark three and go to landmark one. if you have reached landmark one then you can go to landmark three .
F ( yellow room & F ( green room ) ),"go through the yellow room first , then go to the green room ."
F ( first floor & ~  orange room ),go to the first floor while always avoiding the orange room .
F ( landmark one & ~  red room ),always avoid the red room and go to landmark one .
F ( orange room ) & G ( first floor ),do not navigate away from the first floor and go to the orange room .
F ( second floor & F ( first floor ) ),go to the first floor after going to the second floor .
F ( green room & F ( third floor ) ),move to the third floor by going through the green room
F ( second floor & ~  landmark one ),go to the threerd floor but do not go to landmark one .
F ( third floor & ~  landmark one ),go to the threerd floor but avoid landmark one .
F ( first floor & F ( landmark two ) ),go from the first floor to landmark two .
~   ( red room ) U ( landmark one ),avoid the red room on your way to landmark one .
~   ( blue room ) U ( third floor ),"go to the third floor without going through the blue room . if you reached the third floor then you can go to the blue room , or be done ."
F ( landmark two & F ( green room ) ),"first go to landmark two , then go to the green room ."
F ( yellow room & F ( second floor ) ),go through the yellow room before going to the second floor .
F ( first floor & ~  yellow room ),"always avoid the yellow room , go to the first floor ."
F ( landmark two ) & G ( second floor ),go to landmark two while staying on the second floor .
F ( landmark three ) & G ( third floor ),got to landmark three through the green room .
F ( first floor & ~  landmark two ),always avoid landmark two and go to the first floor .
F ( landmark three & F ( blue room ) ),first go to to landmark three then go to the blue room .
F ( second floor & F ( orange room ) ),go from the second floor to the orange room
~   ( blue room ) U ( landmark two ),go to landmark two avoiding the blue room . then go to the blue room or stay on landmark two .
~   ( yellow room ) U ( landmark three ),go to landmark three but do not first go through the yellow room .
F ( landmark one & F ( orange room ) ),go through landmark one and navigate to the orange room .
~   ( green room ) U ( third floor ),avoid the green room before you navigate to the third floor .
F ( landmark three & F ( red room ) ),go through landmark three and navigate to the red room .
~   ( red room ) U ( blue room ),avoid the red room until navigating to the blue room .
F ( landmark one & F ( yellow room ) ),go to the yellow room by first going through landmark one .
F ( green room & ~  orange room ),"navigate to the green room , always avoiding the orange room ."
~   ( orange room ) U ( second floor ),avoid the orange room until going to the second floor .
F ( purple room ) & G ( second floor ),move to the purple room without going to second floor .
F ( red room & F ( yellow room ) ),"first navigate to the red room , then make your way to the yellow room ."
F ( yellow room ) & G ( second floor ),without leaving the second floor go to the yellow room .
~   ( landmark two ) U ( purple room ),go through the purple room before going to landmark two
~   ( landmark three ) U ( blue room ),move to the blue room avoiding landmark three. if you got to the blue room then you can continue to landmark three .
~   ( landmark one ) U ( purple room ),go to the purple room but avoid landmark one. if you reached to the purple room then you can head to landmark one or stay put .
~   ( red room ) U ( green room ),"go to the green room without going to the red room . if you reached the green room , now you can go to the red room ."
F ( orange room & F ( red room ) ),move to the orange room and then the red room .
F ( landmark one ) & G ( second floor ),go to landmark one .
F ( orange room ) & G ( first floor ),stay on the first floor while going to the orange room .
F ( orange room & ~  landmark one ),go to the orange room without touching landmark one .
F ( landmark one ) & G ( second floor ),stay on the second floor and move to landmark one .
F ( landmark two & F ( third floor ) ),go through landmark two before going to the third floor .
F ( landmark two ) & G ( yellow room ),do n't leave the yellow room and go to landmark two .
F ( third floor & F ( green room ) ),go through the third floor to the green room .
F ( landmark two ) & G ( purple room ),"proceed to landmark two , but never move outside of the purple room ."
F ( second floor & ~  green room ),go to the second floor always avoiding the green room .
F ( purple room & F ( green room ) ),go through the purple room to the green room .
F ( yellow room & F ( landmark two ) ),always go through the yellow room before going to landmark two .
F ( second floor & ~  orange room ),go to the second floor but never go to the orange room .
F ( landmark two ) & G ( first floor ),go to landmark two from the first floor only .
~   ( green room ) U ( orange room ),avoid the green room until you go to the orange room .
F ( first floor & F ( yellow room ) ),go to the yellow room through the first floor
F ( landmark one & ~  blue room ),go to landmark one and always avoid the blue room
F ( orange room & ~  blue room ),go to the orange room while always avoiding the blue room
F ( yellow room & ~  blue room ),"go to yellow room , but do not go to blue room ."
F ( landmark one & F ( orange room ) ),"first go to landmark one , then go to the orange room ."
F ( third floor & F ( second floor ) ),"from the third floor , navigate to the second floor ."
F ( purple room & F ( second floor ) ),go to the second floor through the purple room .
~   ( yellow room ) U ( first floor ),go to the first floor . if you reached the first floor then you may go to the yellow room .
F ( purple room ) & G ( first floor ),go directly to the purple room without going to first floor .
~   ( green room ) U ( first floor ),go to the first floor avoiding the green room . if you get to first floor you can then proceed to the green room
F ( landmark one & F ( orange room ) ),go through landmark one before going to the orange room .
F ( red room & ~  blue room ),avoid the blue room and navigate to the red room .
~   ( orange room ) U ( yellow room ),go to the yellow room while avoiding the orange room and if you have reached the yellow room then you can go to the orange room .
~   ( red room ) U ( third floor ),avoid the red room until going to the third floor .
F ( yellow room & ~  purple room ),navigate to the yellow room always avoiding the purple room .
F ( second floor ),navigate to the second floor .
F ( orange room & F ( first floor ) ),go to the first floor via the orange room .
F ( green room & F ( landmark three ) ),move to the green room and then move to landmark three .
F ( landmark two ) & G ( purple room ),"without stepping outside of the purple room , go to landmark two ."
~   ( green room ) U ( orange room ),go to the orange room and if you have reached the orange room you may proceed to the green room or stay in the orange room .
F ( first floor & F ( landmark two ) ),"move to landmark two , but travel to the onest floor first ."
F ( landmark three & F ( green room ) ),navigate through landmark three and go to the green room .
F ( first floor & F ( blue room ) ),head to the blue room but first go to the first floor .
F ( second floor & ~  purple room ),go to second floor without going into the purple room
F ( yellow room & F ( purple room ) ),always go through the yellow room to get to the purple room .
F ( landmark three & F ( third floor ) ),go through landmark three on your way to the third floor .
F ( third floor & F ( red room ) ),go to the third floor then go to the red room
F ( green room & F ( third floor ) ),go to the third floor by first going through the green room .
F ( purple room & F ( landmark two ) ),always go through the purple room and then to landmark two .
F ( green room & F ( yellow room ) ),go through the green room before going to the yellow room .
~   ( orange room ) U ( purple room ),go to the purple room but do not enter the orange room first .
F ( third floor & F ( landmark one ) ),go from onest floor to landmark one .
F ( purple room & ~  blue room ),go to the purple room and avoid the blue room .
F ( landmark three ) & G ( green room ),go to landmark three without leaving green room .
F ( landmark two & F ( purple room ) ),go through landmark two to the purple room .
F ( red room ) & G ( second floor ),remain on the onest floor and go directly to the red room .
F ( orange room ) & G ( second floor ),go to the orange room without ever leaving the second floor .
F ( landmark three & ~  red room ),always avoid the red room while navigating to landmark three .
F ( landmark one ) & G ( first floor ),go to landmark one only through the second floor
F ( green room & ~  red room ),always avoid the red room and go to the green room .
F ( purple room ) & G ( third floor ),remain on the third floor and navigate to the purple room .
F ( third floor & F ( red room ) ),"go to the third floor , then navigate to the red room ."
F ( landmark three ) & G ( third floor ),go to landmark three only through the second floor
F ( purple room ),head to the purple room .
F ( red room & F ( green room ) ),navigate to the green room through the red room .
F ( green room & F ( orange room ) ),go through the green room before going to the orange room .
F ( first floor & F ( landmark one ) ),go to the first floor before you navigate to landmark one .
F ( green room & F ( orange room ) ),go to the orange room by first going through the green room .
F ( landmark two ),navigate to landmark two .
~   ( purple room ) U ( green room ),go to the green room while avoiding the purple room and if you have reached the green room then you can go to the purple room .
F ( orange room & F ( yellow room ) ),go to the yellow room through the orange room
F ( blue room & ~  landmark one ),go to the blue room without touching landmark one .
F ( landmark three ) & G ( second floor ),stay on the second floor and move to landmark three .
F ( green room ) & G ( second floor ),go to the green room only through the onest floor
~   ( orange room ) U ( second floor ),"go to the second floor without going through the orange room . if you reached the second floor then you can go to the orange room , or be done ."
F ( first floor & F ( red room ) ),go from the second floor to the red room
F ( green room & ~  yellow room ),avoid the yellow room and go to the green room .
F ( blue room & ~  landmark two ),go to the blue room while avoiding landmark two
F ( landmark three & F ( first floor ) ),go through landmark three and then to the onest floor .
F ( third floor & F ( blue room ) ),go to the blue room through the third floor .
~   ( green room ) U ( landmark two ),avoid the green room until passing landmark two .
~   ( purple room ) U ( yellow room ),avoid the purple room until you go through the yellow room .
~   ( green room ) U ( landmark one ),do n't go into the green room until going to landmark one
F ( orange room & ~  yellow room ),navigate to the orange room always avoiding the yellow room .
F ( yellow room ) & G ( third floor ),proceed to the yellow room but do n't leave the third floor .
F ( green room & F ( landmark two ) ),navigate to landmark two through the green room .
F ( green room & F ( landmark two ) ),head to landmark two after going to the green room .
~   ( green room ) U ( third floor ),go to or through the second floor while avoiding going through the green room
F ( red room & ~  landmark one ),go to the red room without going to landmark one .
F ( landmark three ) & G ( blue room ),do n't leave the blue room and go to landmark three .
F ( first floor & F ( blue room ) ),go to the second floor and then go to the blue room .
~   ( landmark one ) U ( orange room ),go through the orange room before going to landmark one
F ( red room & F ( first floor ) ),go to the onest floor through the red room
F ( landmark one ) & G ( purple room ),stay in the purple room and go to landmark one and stop
F ( green room & F ( first floor ) ),pass through the green room before going to the first floor .
F ( landmark one & F ( landmark two ) ),go to landmark two through landmark one .
~   ( orange room ) U ( landmark two ),go to landmark two avoiding the orange room . then go to the orange room or stay on landmark two .
F ( green room & ~  landmark three ),go to the green room while always avoiding landmark three
F ( green room & F ( purple room ) ),go to the purple room through the green room .
F ( landmark three ) & G ( orange room ),go to landmark three without leaving orange room .
~   ( red room ) U ( first floor ),"go to the first floor without going through the red room . if you reached the first floor then you can go to the red room , or be done ."
F ( landmark two & ~  orange room ),always avoid the orange room and go to landmark two .
F ( red room & F ( first floor ) ),go to the first floor via the red room .
~   ( landmark two ) U ( orange room ),avoid landmark two until navigating to the orange room .
F ( red room & F ( landmark one ) ),go through the red room to landmark one .
F ( landmark three & F ( green room ) ),first go to to landmark three then go to the green room .
~   ( landmark three ) U ( purple room ),"go to the purple room by avoiding landmark three. if you reached the purple room , then you can proceed to landmark three ."
F ( green room & ~  landmark one ),go to the green room without touching landmark one .
~   ( green room ) U ( orange room ),"go to the orange room without going to the green room . if you reached the orange room , now you can go to the green room ."
~   ( landmark two ) U ( purple room ),go to the purple room by avoiding landmark two and then stay in the purple room or continue to landmark two
F ( landmark one ) & G ( second floor ),visit landmark one but do n't leave the second floor .
F ( first floor & ~  landmark three ),go to the first floor avoiding landmark three .
F ( first floor & ~  landmark one ),navigate to the first floor but do n't ever go to landmark one .
F ( first floor & F ( yellow room ) ),go to the yellow room through the second floor
F ( purple room & F ( second floor ) ),go through the purple room before going to the second floor .
~   ( landmark one ) U ( landmark three ),go to or through landmark three avoiding going through landmark one
F ( blue room & ~  landmark one ),always avoid landmark one and go to the blue room .
~   ( yellow room ) U ( landmark three ),go to landmark three by avoiding the yellow room and then stay there or continue to the yellow room .
F ( red room & F ( landmark two ) ),move to the red room first then travel to landmark two .
F ( landmark one & ~  landmark three ),go to landmark one but always stay away from landmark three .
F ( first floor & F ( red room ) ),go through the first floor and navigate to the red room .
F ( purple room & F ( green room ) ),move to the purple room and then the green room .
F ( landmark three & F ( first floor ) ),pass through landmark three before going to the first floor .
F ( second floor & F ( blue room ) ),head to the blue room but first go to the second floor .
~   ( blue room ) U ( first floor ),avoid the blue room until you navigate to the first floor .
F ( yellow room & F ( second floor ) ),"go to the yellow room , then go to the second floor ."
F ( landmark one & ~  purple room ),go to landmark one always avoiding the purple room .
F ( orange room & ~  landmark one ),avoid landmark one and move into the orange room .
F ( purple room & F ( red room ) ),move to the purple room then continue to the red room .
F ( landmark two & F ( green room ) ),always go to landmark two before navigating to the green room .
F ( red room ) & G ( third floor ),go directly to the red room without going to third floor .
~   ( red room ) U ( third floor ),"avoid the red room and go to the third floor . if you reached the third floor then you may go to the red room , or just stay on the third floor ."
F ( green room & F ( landmark three ) ),always go through the green room and then to landmark three .
F ( second floor & F ( yellow room ) ),go to the second floor and then go to the yellow room .
F ( purple room & ~  landmark one ),go to the purple room avoiding landmark one .
F ( green room & F ( landmark two ) ),"go through the green room , then make your way to landmark two ."
F ( green room & F ( first floor ) ),go through the green room and navigate to the first floor .
F ( purple room & F ( landmark three ) ),"move to landmark three , but go through the purple room first ."
~   ( landmark three ) U ( landmark two ),avoid landmark three and go to landmark two. if you have reached landmark two then you can go to landmark three .
~   ( landmark three ) U ( green room ),"go to the green room by avoiding landmark three. if you reached the green room , then you can proceed to landmark three ."
F ( landmark three & F ( purple room ) ),move to landmark three and then proceed to the purple room .
~   ( green room ) U ( landmark two ),avoid the green room until going to landmark two .
~   ( landmark two ) U ( orange room ),avoid landmark two until reaching the orange room .
F ( landmark three & F ( yellow room ) ),"go to landmark one , then down to the yellow room ."
F ( landmark one & F ( red room ) ),"go to landmark one , then down to the red room ."
~   ( green room ) U ( landmark one ),avoid the green room until landmark one .
F ( second floor & F ( purple room ) ),go from the second floor to the purple room
F ( green room & ~  orange room ),"avoid the orange room , navigate to the green room ."
F ( third floor & F ( red room ) ),navigate from the third floor to the red room .
F ( blue room & F ( second floor ) ),navigate to the second floor through the blue room .
~   ( red room ) U ( third floor ),go to the third floor . if you reached the third floor then you may go to the red room .
F ( second floor & F ( red room ) ),go through the second floor to the red room .
F ( red room & ~  blue room ),go to the red room and avoid the blue room .
F ( landmark three & F ( orange room ) ),go to the orange room by first visiting landmark three .
F ( red room & F ( yellow room ) ),go to the yellow room through the red room
F ( yellow room & F ( green room ) ),go to the green room through the yellow room .
F ( green room & F ( landmark one ) ),move to the green room first then travel to landmark one .
F ( landmark one & F ( yellow room ) ),go to landmark one before going to the yellow room
~   ( purple room ) U ( green room ),go to the green room avoiding the purple room . only if you reached the green room then you may proceed to the purple room .
F ( third floor & ~  landmark two ),go up to the third floor without going to landmark two .
F ( purple room & F ( green room ) ),"head to the green room , but make sure to go through the purple room first ."
~   ( landmark two ) U ( orange room ),go to the orange room but avoid landmark two. if you reached to the orange room then you can head to landmark two or stay put .
~   ( green room ) U ( yellow room ),avoid the green room until you go to the yellow room .
F ( third floor & F ( second floor ) ),"start on the threerd floor , go directly to the onest floor ."
F ( landmark two & ~  orange room ),go to landmark two while always avoiding the orange room .
F ( landmark three ) & G ( red room ),go to landmark three without leaving red room .
F ( landmark two & F ( orange room ) ),go to the orange room via landmark two .
F ( landmark three ),go directly to landmark three .
F ( landmark three & ~  yellow room ),"while always avoiding the yellow room , go to landmark three ."
~   ( landmark one ) U ( landmark three ),"avoid landmark one while traveling to landmark three. once there , you may travel to landmark one ."
F ( first floor & ~  landmark three ),always avoid landmark three and navigate to the first floor .
F ( first floor & F ( orange room ) ),go through the first floor and navigate to the orange room .
F ( red room & ~  landmark three ),always avoid landmark three and navigate to the red room .
F ( landmark two & ~  purple room ),go to landmark two and always avoid the purple room
F ( landmark two & F ( purple room ) ),move to landmark two and then proceed to the purple room .
F ( landmark three & ~  red room ),go to landmark three always avoiding the red room .
~   ( landmark three ) U ( green room ),avoid landmark three until after the green room
~   ( purple room ) U ( landmark two ),always avoid going to landmark two through the purple room
F ( third floor & F ( red room ) ),go from second floor to red room .
F ( first floor & F ( landmark two ) ),go from onest floor to landmark two .
F ( orange room & ~  landmark one ),always avoid landmark one and navigate to the orange room .
~   ( red room ) U ( green room ),avoid the red room until you go to the green room .
~   ( green room ) U ( red room ),avoid the green room until after you 've gone to the red room .
F ( landmark one ) & G ( yellow room ),stay in the yellow room and go to landmark one .
~   ( purple room ) U ( landmark one ),avoid the purple room until landmark one .
~   ( orange room ) U ( landmark one ),avoid the orange room on your way to landmark one .
F ( purple room & F ( third floor ) ),pass through the purple room before going to the third floor .
F ( yellow room ) & G ( third floor ),navigate to the yellow room staying on the third floor .
F ( orange room & F ( green room ) ),go to the green room by first going through the orange room .
F ( blue room & ~  landmark two ),go to the blue room without going to landmark two .
F ( landmark three & F ( second floor ) ),always pass landmark three to get to level one .
F ( third floor & ~  red room ),always avoid the red room and navigate to the third floor .
F ( landmark three & F ( green room ) ),go to the green room by first visiting landmark three .
F ( orange room & F ( green room ) ),go from the orange room to the green room
F ( landmark one & ~  yellow room ),always avoid the yellow room while navigating to landmark one .
F ( landmark one & F ( landmark two ) ),go through landmark one to landmark two .
F ( second floor & F ( landmark three ) ),move to landmark three after moving to the second floor .
F ( orange room & F ( purple room ) ),always go through the orange room to get to the purple room .
~   ( landmark three ) U ( purple room ),avoid landmark three until you go to the purple room .
F ( orange room ) & G ( first floor ),proceed to the orange room without going to first floor .
F ( purple room & ~  red room ),navigate to the purple room always avoiding the red room .
F ( landmark two & F ( red room ) ),go to landmark two before going to the red room .
~   ( landmark one ) U ( blue room ),move to the blue room avoiding landmark one. if you got to the blue room then you can continue to landmark one .
F ( red room ) & G ( second floor ),remain on the second floor and navigate to the red room .
F ( green room & F ( yellow room ) ),move to the green room then continue to the yellow room .
~   ( red room ) U ( landmark one ),avoid the red room until you go to landmark one .
F ( second floor & ~  red room ),go to second floor without going into the red room
~   ( yellow room ) U ( landmark three ),avoid the yellow room on your way to landmark three .
F ( first floor & ~  red room ),always avoid the red room and navigate to the first floor .
F ( blue room & F ( orange room ) ),always go through the blue room to get to the orange room .
F ( second floor & ~  orange room ),always avoid the orange room while navigating to the second floor .
~   ( orange room ) U ( landmark three ),avoid the orange room until reaching landmark three .
F ( landmark two ) & G ( third floor ),go to landmark two .
F ( purple room ) & G ( third floor ),go to the purple room without ever leaving the third floor .
F ( landmark three & ~  blue room ),always avoid the blue room and go to landmark three .
F ( landmark two ) & G ( second floor ),go to landmark two from the second floor only .
~   ( red room ) U ( orange room ),avoid the red room until you go through the orange room .
F ( yellow room & ~  orange room ),"navigate to the yellow room , always avoiding the orange room ."
~   ( purple room ) U ( landmark two ),go to landmark two by avoiding the purple room and then stay there or continue to the purple room .
F ( landmark two & ~  red room ),always avoid the red room while navigating to landmark two .
~   ( orange room ) U ( second floor ),go to or through the second floor always avoid going through the orange room
F ( second floor & F ( landmark two ) ),go to the second floor then go landmark two .
F ( green room & ~  orange room ),go to the green room without going to the orange room
~   ( purple room ) U ( landmark three ),do n't go into the purple room until going to landmark three
F ( second floor & F ( red room ) ),"go to the second floor , then go to the red room ."
F ( second floor & F ( yellow room ) ),go to the second floor and then go to the yellow room .
F ( orange room ),proceed to the orange room .
~   ( blue room ) U ( first floor ),go to the first floor but do not go through the blue room first .
F ( blue room & ~  landmark three ),go to the blue room and avoid landmark three .
~   ( red room ) U ( purple room ),avoid the red room until going to the purple room .
F ( landmark two ) & G ( third floor ),got to landmark two through the green room .
F ( landmark three & F ( blue room ) ),first move to landmark three then navigate to the blue room .
F ( red room & F ( first floor ) ),move to the first floor by going through the red room
F ( landmark one & F ( red room ) ),go to landmark one then go to the red room .
F ( landmark two ) & G ( red room ),stay in the red room and go to landmark two
F ( first floor & ~  purple room ),go to the second floor but avoid the purple room .
F ( landmark one & F ( red room ) ),go to the red room through landmark one .
F ( green room ) & G ( second floor ),stay on the second floor and go to the green room .
F ( second floor & ~  blue room ),go to the second floor always avoiding the blue room .
F ( second floor & F ( purple room ) ),navigate to the second floor before going to the purple room .
F ( orange room & F ( purple room ) ),go to the purple room by touching the orange room .
F ( red room ) & G ( first floor ),without leaving the first floor go to the red room .
~   ( green room ) U ( orange room ),go to or through the orange room always avoid going to the orange room through the green room
F ( second floor & ~  yellow room ),go to the second floor while always avoiding the yellow room
F ( orange room & ~  red room ),navigate to the orange room always avoiding the red room .
F ( purple room & F ( third floor ) ),always navigate to purple room and then proceed to third floor .
F ( first floor & F ( green room ) ),go to the green room through the first floor .
F ( purple room & ~  landmark two ),"go to the purple room , avoiding landmark two ."
F ( landmark two & F ( yellow room ) ),go through landmark two before going to the yellow room .
F ( yellow room & ~  landmark one ),go to the yellow room while always avoiding landmark one
F ( landmark two & F ( first floor ) ),go to the onest floor through landmark two
F ( green room & F ( landmark one ) ),"go to the green room , then proceed to landmark one ."
F ( landmark two & F ( yellow room ) ),go to the yellow room by first visiting landmark two .
~   ( orange room ) U ( landmark one ),avoid the orange room until you go to landmark one .
F ( orange room & F ( landmark three ) ),go to landmark three through the orange room
F ( landmark three & F ( yellow room ) ),go to the yellow room through landmark three .
~   ( yellow room ) U ( first floor ),"avoid the yellow room and go to the first floor . if you reached the first floor then you may go to the yellow room , or just stay on the first floor ."
F ( blue room & F ( landmark two ) ),go to landmark two through the blue room
